DRAN,DRACT,IPONDI
47 ,05,2.0
47 ,06,24.0
47 ,07,4.0
48 ,01,1.0
48 ,02,1.0
48 ,03,4.0
48 ,05,4.0
48 ,06,6.0
49 ,01,3.0
49 ,02,6.0
49 ,03,9.0
49 ,04,2.0
49 ,05,12.0
49 ,06,26.0
49 ,07,2.0
50 ,01,1.0
50 ,02,4.0
50 ,03,11.0
50 ,04,5.0
50 ,06,20.0
50 ,07,1.0
51 ,01,11.0
51 ,02,125.0
51 ,03,8.0
51 ,04,2.0
51 ,05,1.0
51 ,06,80.0
51 ,07,3.0
52 ,01,4.0
52 ,02,2.0
52 ,03,1.0
52 ,06,17.0
53 ,01,15.0
53 ,02,1.0
53 ,03,6.0
53 ,04,2.0
53 ,05,12.0
53 ,06,5.0
54 ,01,22.0
54 ,02,10.0
54 ,03,12.0
54 ,04,2.0
54 ,06,83.0
54 ,07,5.0
55 ,01,2.0
55 ,02,4.0
55 ,06,9.0
56 ,01,4.0
56 ,02,12.0
56 ,03,9.0
56 ,04,5.0
56 ,05,3.0
56 ,06,18.0
57 ,01,16.0
57 ,02,8.0
57 ,03,5.0
57 ,05,1.0
57 ,06,57.0
58 ,01,8.0
58 ,02,6.0
58 ,03,56.0
58 ,04,3.0
58 ,05,1.0
58 ,06,15.0
59 ,01,40.0
59 ,02,192.0
59 ,03,24.0
59 ,04,7.0
59 ,05,20.0
59 ,06,230.0
59 ,07,14.0
60 ,01,12.0
60 ,02,218.0
60 ,03,9.0
60 ,04,10.0
60 ,05,8.0
60 ,06,75.0
61 ,01,2.0
61 ,02,1.0
61 ,03,3.0
61 ,05,1.0
61 ,06,4.0
61 ,07,1.0
62 ,01,24.0
62 ,02,55.0
62 ,03,20.0
62 ,04,4.0
62 ,05,6.0
62 ,06,43.0
63 ,01,18.0
63 ,02,2.0
63 ,03,410.0
63 ,04,4.0
63 ,05,4.0
63 ,06,46.0
63 ,07,6.0
64 ,01,1.0
64 ,02,2.0
64 ,03,4.0
64 ,04,4.0
64 ,05,2.0
64 ,06,29.0
65 ,01,2.0
65 ,02,1.0
65 ,03,5.0
65 ,06,11.0
66 ,01,19.0
66 ,02,9.0
66 ,03,9.0
66 ,04,3.0
66 ,05,2.0
66 ,06,47.0
67 ,01,19.0
67 ,02,13.0
67 ,03,13.0
67 ,04,2.0
67 ,05,3.0
67 ,06,76.0
68 ,01,14.0
68 ,02,8.0
68 ,03,7.0
68 ,05,2.0
68 ,06,68.0
69 ,01,628.0
69 ,02,7.0
69 ,03,84.0
69 ,04,17.0
69 ,05,32.0
69 ,06,293.0
69 ,07,68.0
70 ,01,6.0
70 ,03,1.0
70 ,04,1.0
70 ,06,8.0
71 ,01,98.0
71 ,02,6.0
71 ,03,27.0
71 ,04,1.0
71 ,05,4.0
71 ,06,34.0
72 ,01,5.0
72 ,02,3.0
72 ,03,4.0
72 ,04,2.0
72 ,05,6.0
72 ,06,42.0
73 ,01,50.0
73 ,02,2.0
73 ,03,11.0
73 ,04,6.0
73 ,05,23.0
73 ,06,58.0
73 ,07,18.0
74 ,01,226.0
74 ,02,3.0
74 ,03,27.0
74 ,04,7.0
74 ,05,4.0
74 ,06,89.0
74 ,07,22.0
75 ,01,55.0
75 ,02,96.0
75 ,03,65.0
75 ,04,16.0
75 ,05,15.0
75 ,06,655.0
75 ,07,19.0
76 ,01,22.0
76 ,02,22.0
76 ,03,13.0
76 ,04,8.0
76 ,05,17.0
76 ,06,79.0
77 ,01,15.0
77 ,02,81.0
77 ,03,19.0
77 ,04,5.0
77 ,05,12.0
77 ,06,156.0
77 ,07,7.0
78 ,01,29.0
78 ,02,15.0
78 ,03,39.0
78 ,04,12.0
78 ,05,15.0
78 ,06,183.0
78 ,07,9.0
79 ,01,1.0
79 ,02,1.0
79 ,03,1.0
79 ,05,1.0
79 ,06,18.0
80 ,01,7.0
80 ,02,171.0
80 ,03,3.0
80 ,04,13.0
80 ,05,4.0
80 ,06,23.0
81 ,01,2.0
81 ,03,8.0
81 ,04,1.0
81 ,05,1.0
81 ,06,22.0
81 ,07,5.0
82 ,02,5.0
82 ,03,2.0
82 ,04,1.0
82 ,06,6.0
83 ,01,25.0
83 ,02,7.0
83 ,03,27.0
83 ,04,56.0
83 ,05,49.0
83 ,06,1106.0
83 ,07,20.0
84 ,01,16.0
84 ,02,5.0
84 ,03,9.0
84 ,04,56.0
84 ,05,30.0
84 ,06,92.0
84 ,07,31.0
85 ,01,8.0
85 ,02,1.0
85 ,03,8.0
85 ,06,18.0
86 ,01,6.0
86 ,02,2.0
86 ,03,13.0
86 ,04,1.0
86 ,05,3.0
86 ,06,13.0
87 ,02,1.0
87 ,03,29.0
87 ,04,2.0
87 ,06,26.0
88 ,01,2.0
88 ,02,5.0
88 ,03,6.0
88 ,05,3.0
88 ,06,19.0
89 ,01,14.0
89 ,02,2.0
89 ,03,4.0
89 ,04,2.0
89 ,05,1.0
89 ,06,25.0
89 ,07,2.0
90 ,01,4.0
90 ,02,2.0
90 ,06,14.0
90 ,07,2.0
91 ,01,20.0
91 ,02,25.0
91 ,03,23.0
91 ,04,1.0
91 ,05,5.0
91 ,06,133.0
91 ,07,9.0
92 ,01,34.0
92 ,02,47.0
92 ,03,11.0
92 ,04,3.0
92 ,05,11.0
92 ,06,356.0
92 ,07,13.0
93 ,01,14.0
93 ,02,119.0
93 ,03,23.0
93 ,04,10.0
93 ,05,4.0
93 ,06,157.0
93 ,07,9.0
94 ,01,15.0
94 ,02,38.0
94 ,03,23.0
94 ,04,2.0
94 ,05,18.0
94 ,06,202.0
94 ,07,5.0
95 ,01,26.0
95 ,02,49.0
95 ,03,12.0
95 ,04,14.0
95 ,05,3.0
95 ,06,109.0
95 ,07,6.0
971,01,5.0
971,02,21.0
971,06,27.0
971,07,2.0
972,01,10.0
972,02,7.0
972,03,15.0
972,04,3.0
972,05,1.0
972,06,13.0
973,01,3.0
973,02,2.0
973,03,8.0
973,05,8.0
973,06,14.0
973,07,6.0
974,01,21.0
974,02,13.0
974,03,13.0
974,04,12.0
974,05,3.0
974,06,42.0
974,07,4.0
975,06,3.0
976,01,7.0
976,02,1.0
976,03,12.0
976,04,1.0
976,06,8.0
976,07,5.0
977,03,1.0
977,06,4.0
978,01,1.0
978,06,3.0
98,01,8.0
98,02,3.0
98,03,7.0
98,06,54.0
99,01,867.0
99,02,252.0
99,03,150.0
99,04,106.0
99,05,50.0
99,06,2343.0
99,07,127.0
01 ,08,4.0
01 ,10,10.0
01 ,11,14.0
01 ,12,1.0
01 ,13,76.0
02 ,08,11.0
02 ,09,13.0
02 ,10,23.0
02 ,11,4.0
02 ,12,6.0
02 ,13,43.0
03 ,07,1.0
03 ,09,1.0
03 ,10,3.0
03 ,11,7.0
03 ,12,5.0
03 ,13,23.0
04 ,07,7.0
04 ,10,1.0
04 ,11,4.0
04 ,12,5.0
04 ,13,433.0
05 ,10,1.0
05 ,11,2.0
05 ,12,2.0
05 ,13,258.0
06 ,08,2.0
06 ,09,2.0
06 ,10,22.0
06 ,11,37.0
06 ,12,17.0
06 ,13,618.0
07 ,10,1.0
07 ,11,3.0
07 ,12,2.0
07 ,13,72.0
08 ,08,29403.0
08 ,09,4.0
08 ,10,23.0
08 ,11,11.0
08 ,13,18.0
09 ,09,9823.0
09 ,10,1.0
09 ,11,48.0
09 ,12,4.0
09 ,13,25.0
10 ,08,7.0
10 ,09,3.0
10 ,10,44661.0
10 ,11,7.0
10 ,12,1.0
10 ,13,25.0
11 ,09,34.0
11 ,10,8.0
11 ,11,54718.0
11 ,12,28.0
11 ,13,70.0
12 ,08,3.0
12 ,09,3.0
12 ,10,1.0
12 ,11,13.0
12 ,12,29610.0
12 ,13,37.0
13 ,08,7.0
13 ,09,13.0
13 ,10,23.0
13 ,11,65.0
13 ,12,29.0
13 ,13,656686.0
14 ,08,2.0
14 ,10,22.0
14 ,11,4.0
14 ,12,4.0
14 ,13,44.0
15 ,11,8.0
15 ,12,41.0
15 ,13,8.0
16 ,08,1.0
16 ,10,3.0
16 ,11,9.0
16 ,12,3.0
16 ,13,23.0
17 ,08,1.0
17 ,09,2.0
17 ,10,8.0
17 ,11,8.0
17 ,12,5.0
17 ,13,56.0
18 ,07,4.0
18 ,08,2.0
18 ,09,1.0
18 ,10,3.0
18 ,11,14.0
18 ,12,5.0
18 ,13,33.0
19 ,08,1.0
19 ,09,7.0
19 ,10,4.0
19 ,11,13.0
19 ,12,8.0
19 ,13,25.0
21 ,08,8.0
21 ,09,2.0
21 ,10,47.0
21 ,11,12.0
21 ,12,5.0
21 ,13,118.0
22 ,08,3.0
22 ,10,7.0
22 ,11,1.0
22 ,12,2.0
22 ,13,28.0
23 ,11,1.0
23 ,12,1.0
23 ,13,11.0
24 ,08,1.0
24 ,09,6.0
24 ,10,1.0
24 ,11,6.0
24 ,12,8.0
24 ,13,22.0
25 ,08,6.0
25 ,10,14.0
25 ,11,8.0
25 ,12,1.0
25 ,13,66.0
26 ,08,3.0
26 ,10,4.0
26 ,11,18.0
26 ,12,1.0
26 ,13,220.0
27 ,07,7.0
27 ,08,4.0
27 ,09,4.0
27 ,10,3.0
27 ,11,10.0
27 ,12,2.0
27 ,13,57.0
28 ,07,5.0
28 ,08,4.0
28 ,09,1.0
28 ,10,12.0
28 ,11,3.0
28 ,12,3.0
28 ,13,44.0
29 ,08,3.0
29 ,09,3.0
29 ,10,7.0
29 ,11,12.0
29 ,12,2.0
29 ,13,85.0
2A ,10,3.0
2A ,11,14.0
2A ,12,5.0
2A ,13,74.0
2B ,11,9.0
2B ,12,3.0
2B ,13,118.0
30 ,08,8.0
30 ,09,7.0
30 ,10,6.0
30 ,11,52.0
30 ,12,28.0
30 ,13,639.0
31 ,07,4.0
31 ,08,5.0
31 ,09,97.0
31 ,10,14.0
31 ,11,208.0
31 ,12,146.0
31 ,13,437.0
32 ,09,4.0
32 ,11,10.0
32 ,12,9.0
32 ,13,18.0
33 ,07,1.0
33 ,08,4.0
33 ,09,16.0
33 ,10,19.0
33 ,11,51.0
33 ,12,15.0
33 ,13,218.0
34 ,08,11.0
34 ,09,18.0
34 ,10,13.0
34 ,11,412.0
34 ,12,84.0
34 ,13,571.0
35 ,08,6.0
35 ,09,4.0
35 ,10,16.0
35 ,11,3.0
35 ,12,4.0
35 ,13,95.0
36 ,10,1.0
36 ,11,4.0
36 ,12,6.0
36 ,13,32.0
37 ,09,1.0
37 ,10,14.0
37 ,11,5.0
37 ,12,1.0
37 ,13,91.0
38 ,08,1.0
38 ,09,2.0
38 ,10,20.0
38 ,11,24.0
38 ,12,10.0
38 ,13,393.0
39 ,09,1.0
39 ,10,2.0
39 ,11,1.0
39 ,12,1.0
39 ,13,24.0
40 ,09,8.0
40 ,10,2.0
40 ,11,16.0
40 ,12,9.0
40 ,13,30.0
41 ,10,3.0
41 ,11,2.0
41 ,13,24.0
42 ,08,1.0
42 ,09,5.0
42 ,10,3.0
42 ,11,2.0
42 ,12,1.0
42 ,13,105.0
43 ,10,2.0
43 ,11,2.0
43 ,13,33.0
44 ,07,1.0
44 ,08,2.0
44 ,10,15.0
44 ,11,12.0
44 ,12,4.0
44 ,13,151.0
45 ,08,1.0
45 ,09,1.0
45 ,10,34.0
45 ,11,4.0
45 ,12,5.0
45 ,13,81.0
46 ,08,2.0
46 ,09,1.0
46 ,10,1.0
46 ,11,7.0
46 ,12,62.0
46 ,13,13.0
47 ,08,2.0
47 ,10,3.0
47 ,11,29.0
47 ,12,5.0
47 ,13,36.0
48 ,09,1.0
48 ,10,1.0
48 ,11,6.0
48 ,12,20.0
48 ,13,8.0
49 ,08,3.0
49 ,09,4.0
49 ,10,8.0
49 ,11,2.0
49 ,12,2.0
49 ,13,73.0
50 ,08,2.0
50 ,10,1.0
50 ,11,9.0
50 ,12,3.0
50 ,13,27.0
51 ,08,117.0
51 ,09,2.0
51 ,10,193.0
51 ,11,7.0
51 ,12,4.0
51 ,13,74.0
52 ,08,4.0
52 ,10,79.0
52 ,11,2.0
52 ,12,1.0
52 ,13,18.0
53 ,11,6.0
53 ,13,15.0
54 ,08,14.0
54 ,10,10.0
54 ,11,15.0
54 ,12,8.0
54 ,13,112.0
55 ,07,3.0
55 ,08,12.0
55 ,10,10.0
55 ,13,10.0
56 ,08,1.0
56 ,09,4.0
56 ,10,4.0
56 ,11,7.0
56 ,12,1.0
56 ,13,44.0
57 ,07,1.0
57 ,08,13.0
57 ,09,2.0
57 ,10,37.0
57 ,11,12.0
57 ,12,4.0
57 ,13,91.0
58 ,08,3.0
58 ,10,6.0
58 ,11,1.0
58 ,13,10.0
59 ,08,30.0
59 ,09,11.0
59 ,10,22.0
59 ,11,27.0
59 ,12,18.0
59 ,13,399.0
60 ,07,6.0
60 ,08,5.0
60 ,09,3.0
60 ,10,9.0
60 ,11,27.0
60 ,12,15.0
60 ,13,79.0
61 ,08,1.0
61 ,09,2.0
61 ,10,3.0
61 ,11,3.0
61 ,13,16.0
62 ,07,4.0
62 ,08,14.0
62 ,09,3.0
62 ,10,22.0
62 ,11,22.0
62 ,12,5.0
62 ,13,64.0
63 ,08,1.0
63 ,09,1.0
63 ,10,17.0
63 ,11,12.0
63 ,12,25.0
63 ,13,76.0
64 ,07,2.0
64 ,08,6.0
64 ,09,5.0
64 ,10,6.0
64 ,11,33.0
64 ,12,8.0
64 ,13,83.0
65 ,07,1.0
65 ,08,1.0
65 ,09,8.0
65 ,10,1.0
65 ,11,22.0
65 ,12,13.0
65 ,13,29.0
66 ,07,8.0
66 ,08,4.0
66 ,09,10.0
66 ,10,7.0
66 ,11,147.0
66 ,12,10.0
66 ,13,111.0
67 ,07,2.0
67 ,08,3.0
67 ,09,1.0
67 ,10,34.0
67 ,11,9.0
67 ,12,5.0
67 ,13,133.0
68 ,07,4.0
68 ,08,26.0
68 ,10,10.0
68 ,11,6.0
68 ,12,3.0
68 ,13,72.0
69 ,08,8.0
69 ,09,7.0
69 ,10,28.0
69 ,11,40.0
69 ,12,9.0
69 ,13,729.0
70 ,07,3.0
70 ,10,1.0
70 ,11,2.0
70 ,12,1.0
70 ,13,23.0
