DRAN,DRACT,IPONDI,insee_dep_x,lat_dest,lng_dest,insee_dep_y,lat_src,lng_src
01,02,26.54062616351309,02,49.559813275991445,3.558087277023658,01,46.099628623191094,5.348923142711287
01,03,87.28197582405006,03,46.39381563364784,3.18813351109937,01,46.099628623191094,5.348923142711287
01,04,36.68670535696708,04,44.105953173469146,6.243551214366354,01,46.099628623191094,5.348923142711287
01,05,9.12967410305109,05,44.663706822016515,6.263200801496509,01,46.099628623191094,5.348923142711287
01,06,92.26650186895574,06,43.9380214983474,7.116144773756707,01,46.099628623191094,5.348923142711287
01,07,46.14109558047324,07,44.751719837620335,4.4245805188405125,01,46.099628623191094,5.348923142711287
02,01,32.35232996231796,01,46.099628623191094,5.348923142711287,02,49.559813275991445,3.558087277023658
02,03,12.998207968549163,03,46.39381563364784,3.18813351109937,02,49.559813275991445,3.558087277023658
02,04,7.67713487795584,04,44.105953173469146,6.243551214366354,02,49.559813275991445,3.558087277023658
02,06,92.063036014106,06,43.9380214983474,7.116144773756707,02,49.559813275991445,3.558087277023658
02,07,6.40626599844266,07,44.751719837620335,4.4245805188405125,02,49.559813275991445,3.558087277023658
03,01,22.484979112563977,01,46.099628623191094,5.348923142711287,03,46.39381563364784,3.18813351109937
03,02,11.080637693630969,02,49.559813275991445,3.558087277023658,03,46.39381563364784,3.18813351109937
03,04,4.99998062857555,04,44.105953173469146,6.243551214366354,03,46.39381563364784,3.18813351109937
03,05,3.0510772272696,05,44.663706822016515,6.263200801496509,03,46.39381563364784,3.18813351109937
03,06,29.508925370501693,06,43.9380214983474,7.116144773756707,03,46.39381563364784,3.18813351109937
04,01,14.14738172038728,01,46.099628623191094,5.348923142711287,04,44.105953173469146,6.243551214366354
04,02,2.94496900205588,02,49.559813275991445,3.558087277023658,04,44.105953173469146,6.243551214366354
04,03,10.59508882901928,03,46.39381563364784,3.18813351109937,04,44.105953173469146,6.243551214366354
04,05,205.493782604384,05,44.663706822016515,6.263200801496509,04,44.105953173469146,6.243551214366354
04,06,277.42138046609625,06,43.9380214983474,7.116144773756707,04,44.105953173469146,6.243551214366354
04,07,28.88319619570138,07,44.751719837620335,4.4245805188405125,04,44.105953173469146,6.243551214366354
05,01,45.28533858210592,01,46.099628623191094,5.348923142711287,05,44.663706822016515,6.263200801496509
05,03,1.975849056636928,03,46.39381563364784,3.18813351109937,05,44.663706822016515,6.263200801496509
05,04,115.10741713495877,04,44.105953173469146,6.243551214366354,05,44.663706822016515,6.263200801496509
05,06,58.564593502267314,06,43.9380214983474,7.116144773756707,05,44.663706822016515,6.263200801496509
05,07,20.0289187451568,07,44.751719837620335,4.4245805188405125,05,44.663706822016515,6.263200801496509
06,01,111.41762173629222,01,46.099628623191094,5.348923142711287,06,43.9380214983474,7.116144773756707
06,02,31.349689402419962,02,49.559813275991445,3.558087277023658,06,43.9380214983474,7.116144773756707
06,03,72.92360340544889,03,46.39381563364784,3.18813351109937,06,43.9380214983474,7.116144773756707
06,04,150.05644442586876,04,44.105953173469146,6.243551214366354,06,43.9380214983474,7.116144773756707
06,05,87.78915902067261,05,44.663706822016515,6.263200801496509,06,43.9380214983474,7.116144773756707
06,07,38.98133273916632,07,44.751719837620335,4.4245805188405125,06,43.9380214983474,7.116144773756707
07,01,43.76805261742805,01,46.099628623191094,5.348923142711287,07,44.751719837620335,4.4245805188405125
07,02,3.08520154298844,02,49.559813275991445,3.558087277023658,07,44.751719837620335,4.4245805188405125
07,03,32.551104261592755,03,46.39381563364784,3.18813351109937,07,44.751719837620335,4.4245805188405125
07,04,3.588297881891501,04,44.105953173469146,6.243551214366354,07,44.751719837620335,4.4245805188405125
07,05,2.38471588900896,05,44.663706822016515,6.263200801496509,07,44.751719837620335,4.4245805188405125
07,06,26.42145576406081,06,43.9380214983474,7.116144773756707,07,44.751719837620335,4.4245805188405125
08,01,5.6252305875796,01,46.099628623191094,5.348923142711287,08,49.61568522197238,4.640680399515867
08,02,58.39309968654864,02,49.559813275991445,3.558087277023658,08,49.61568522197238,4.640680399515867
08,03,17.79759104212039,03,46.39381563364784,3.18813351109937,08,49.61568522197238,4.640680399515867
08,05,4.99991626205324,05,44.663706822016515,6.263200801496509,08,49.61568522197238,4.640680399515867
08,06,19.15950938632928,06,43.9380214983474,7.116144773756707,08,49.61568522197238,4.640680399515867
09,01,10.0,01,46.099628623191094,5.348923142711287,09,42.9207826309554,1.5039341639969477
